Regionfilter,Country filter,Employee filter,Industryfilter,IT-Business filter,Q20,Q2101101,Q2102101,Q2103101,Q2104101,Q2105101,Q2106101,Q2107101,Q2108101,Q2109101,Q2110101,Q2111101,Q2112101,Q2113101,Q22,Q23,Q2401102,Q2402102,Q2403102,Q2404102,Q2405102,Q2406102,Q2407102,Q2408102,Q2409102,Q2410102,Q2411102,Q2412102,Q2413102,Q2414102,Q2415102,Q2901103,Q2902103,Q2903103,Q2904103,Q2906103,Q2908103,Q2909103,Q2910103,Q2911103,Q2912103,Q2913103,Q2914103,Q2915103,Q2916103,Q2937103,Q2917103,Q2938103,Q2918103,Q2919103,Q2920103,Q2921103,Q2922103,Q2923103,Q2924103,Q2925103,Q2926103,Q2927103,Q2929103,Q2930103,Q2931103,Q2932103,Q2933103,Q2934103,Q2935103,Q3001104,Q3002104,Q3003104,Q3004104,Q3006104,Q3008104,Q3009104,Q3010104,Q3011104,Q3012104,Q3013104,Q3014104,Q3036104,Q3015104,Q3037104,Q3016104,Q3017104,Q3019104,Q3020104,Q3021104,Q3022104,Q3023104,Q3024104,Q3025104,Q3026104,Q3028104,Q3029104,Q3030104,Q3031104,Q3032104,Q3033104,Q3034104,Q3035104,Q3101105,Q3102105,Q3103105,Q3104105,Q3105105,Q3107105,Q3109105,Q3110105,Q3111105,Q3112105,Q3113105,Q3114105,Q3115105,Q3138105,Q3116105,Q3117105,Q3118105,Q3139105,Q3119105,Q3120105,Q3121105,Q3122105,Q3123105,Q3124105,Q3125105,Q3126105,Q3127105,Q3128105,Q3130105,Q3131105,Q3132105,Q3133105,Q3134105,Q3135105,Q3136105,Q3201106,Q3202106,Q3203106,Q3204106,Q3205106,Q3207106,Q3209106,Q3210106,Q3211106,Q3212106,Q3213106,Q3214106,Q3215106,Q3242106,Q3216106,Q3243106,Q3217106,Q3218106,Q3220106,Q3221106,Q3222106,Q3223106,Q3224106,Q3225106,Q3226106,Q3227106,Q3228106,Q3230106,Q3232106,Q3234106,Q3235106,Q3236106,Q3237106,Q3238106,Q3239106,Q3219106,Q3240106,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q35_6,Q35_7,Q36,Q37,Q3801107,Q3802107,Q3803107,Q3804107,Q3805107,Q3806107,Q3807107,Q3808107,Q3809107,Q3810107,Q3811107,Q3812107,Q3813107,Q3814107,Q3815107,Q3816107,Q3817107,Q3818107,Q3819107,Q3820107,Q3822107,Q3821xy,Q3901108,Q3902108,Q3903108,Q3904108,Q3905108,Q3906108,Q3907108,Q3908108,Q3909108,Q3910108,Q3911108,Q3912108,Q3913108,Q3914108,Q3915108,Q4001109,Q4002109,Q4003109,Q4004109,Q4005109,Q4006109,Q4007109,Q4008109,Q4009109,Q4010109,Q4011109,Q4012109,Q4013109,Q4014109,Q4015109,Q4016109,Q42_1,Q42_2,Q42_3,Q42_4,Q42_5,Q42_6,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q44_7,Q44_8,Q44_9,Q44_10,Q44_11,Q46,Q47_1,Q47_2,Q48,Q49,Q50,Q52,Q5301110,Q5302110,Q5303110,Q5304110,Q5306110,Q54_1,Q54_2,Q54_3,Q54_4,Q54_5,Q54_6,Q54_7,Q54_8,Q54_9,Q54_10,Q54_11,Q54_12,Q54_13,Q61,Q62,Q6301111,Q6302111,Q6303111,Q6304111,Q6305111,Q6306111,Q6307111,Q6308111,Q6309111,Q6310111,Q6311111,Q6312111,Q6313111,Q6314111,Q6315111,Q6316111,Q6317111,Q6318111,Q6319111,Q6320111,Q6321111,Q70,q55_discrete,q55_2_discrete,q55_3_discrete,q55_1_2,Q70_regions,Q68_bundled,q33_bundled,q27_bundled1112,q27_bundled2112,q27_bundled3112,q27_bundled4112,q27_bundled5112,q27_bundled6112,q27_bundled8112,q27_bundled10112,q27_bundled11112,q27_bundled12112,q27_bundled15112,q27_bundled16112,q27_bundled17112,q27_bundled18112,q27_bundled19112,q27_bundled20112,q27_bundled21112,q27_bundled22112,q27_bundled23112,q27_bundled24112,q27_bundled25112,q27_bundled26112,q27_bundled27112,q27_bundled40112,q27_bundled29112,q27_bundled30112,q27_bundled31112,q27_bundled32112,q27_bundled33112,q27_bundled34112,q27_bundled35112,q27_bundled36112,q27_bundled37112,q27_bundled38112,q27_bundled39112,q27_bundled41112,q27_bundled999112,q28_bundled1113,q28_bundled2113,q28_bundled3113,q28_bundled4113,q28_bundled5113,q28_bundled6113,q28_bundled8113,q28_bundled10113,q28_bundled11113,q28_bundled12113,q28_bundled15113,q28_bundled16113,q28_bundled17113,q28_bundled18113,q28_bundled19113,q28_bundled20113,q28_bundled21113,q28_bundled22113,q28_bundled23113,q28_bundled24113,q28_bundled25113,q28_bundled26113,q28_bundled27113,q28_bundled40113,q28_bundled29113,q28_bundled30113,q28_bundled31113,q28_bundled32113,q28_bundled33113,q28_bundled34113,q28_bundled35113,q28_bundled36113,q28_bundled37113,q28_bundled38113,q28_bundled39113,q28_bundled41113,q28_bundled999OtherOther3,q_eur,Q70_regions,ID,Q1,Q2,Q33,Q41
Europe,Germany,500 - 1500,Utilities,Business,Finance/Controlling,Management,Finance/Controlling,,IT,,,Marketing,Procurement,Operations/Production,,Sales,Service,,Person responsible for departmental BI,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cubus,,,,,,Microsoft Excel with Add-In,,,,,,,,,,,,,,,,,,,,,Tableau,,,,,,,,,,,,,,Microsoft Excel with Add-In,,,,,,,,,,,,,,,,,,,,,,Tableau,,,,,,In use,Not required,In use,In use,Not required,Not required,Not required,Before 2010,,,,,,,,,,,Size/financial stability of the vendor,,,Price-performance ratio,,,,,Bundled with another product,Deployment option,,,,,,,,,,,,,,,,,,,,,,Key product features,,,,Cannot handle our data volumes,,,,Software not flexible enough,,,,,,,,,,,Moderate,Moderate,Moderate,Moderate,Moderate,,Low,Low,Low,Low,,,Low,Low,Low,Moderate,Probably not,Satisfactory,Satisfactory,Satisfactory,,10 to less than 30 seconds,,View,Navigate,,,Create reports,Not required,Not required,Not required,Not required,Not required,Not required,Not required,Not required,Not required,Not required,In use,Not required,Not required,Not very feasible,Important,Pricing and offer optimization,,Customer behavior analysis,Churn prevention,,,Geospatial analysis,Recommendation/Next-best-offer,Unified view of customers,Quality assurance/analysis,Sales management and analysis,Risk management/Minimizing risks,,,,,,,,,,Germany,501 - 1000,76 - 300,25 - 75,15 to less than 20%,Europe,Utilities,,,,,,Cubeware,cubus,,,,,,,,,,,,MS Excel,MS Power BI,,,Oracle BI,,,,Qlik Sense,QlikView,,SAP Analytics Cloud,SAP BO Analysis,SAP BO WebI,,,Tableau,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tableau,,,Other,DACH,Europe,100815,Deutsch,User,Other,No
Europe,Germany,More than 6000,Manufacturing,Did not respond,,Management,Finance/Controlling,,IT,,Logistics,Marketing,Procurement,Operations/Production,R&D,Sales,Service,,Line of business employee,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,Not required,In use,Not required,Not required,Not required,Not required,Before 2010,Competitively evaluated multiple products,Functionality,,,Ease of use for report designers,,,,,Vendor or product reputation,,,,,,Availability of local support,,,,,,,,Customization of the product,,Lack of expertise of implementation partner,,,,,,,,,Unclear requirements,,,,,,Lack of interest from business users,,,,,,Query performance too slow,,,Software not flexible enough,,,,,,,,,,,Poor,Moderate,Poor,Poor,Moderate,Not achieved,Low,Low,Moderate,Not achieved,Moderate,Not achieved,Low,Moderate,Low,Low,Probably not,Very poor,Satisfactory,Not very good,1 to less than 3 months,1 to less than 5 minutes,More than 500 TB,View,,Explore/Analyze,,,Planned in the long term,Planned within 12 months,In use,In use,In use,In use,In use,Planned within 12 months,In use,Not required,Not required,,,Not feasible at all,Important,,,,,Fraud prevention,Security analytics,,,,,,Risk management/Minimizing risks,Predictive maintenance,Simulation,,,,,Predictive analytics,,,Germany,More than 100000,More than 300,More than 300,1 to less than 5%,Europe,Manufacturing,SAP BO WebI,,,,,,,,,,,,,,,,,,,,MS SSRS,,,,,,,QlikView,,,,SAP BO WebI,,,Tableau,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,QlikVIew,,,SAP BO Analysis,SAP BO WebI,,,Tableau,,,Other,DACH,Europe,100816,Deutsch,Consultant,SAP BO Web Intelligence,
Europe,Liechtenstein,500 - 1500,Financial Services,Business,Finance/Controlling,Management,Finance/Controlling,,,,,,,,,Sales,,Other,Head of business department,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,Planned in the long term,Planned in the long term,In use,2016,Competitively evaluated multiple products,,,,,,,Predefined data connections,,,,,,,Corporate standard,,,,,,,,,,,,,,,,,,,Lack of support from management,Unclear requirements,,,,,,,,,,,Cannot handle our data volumes,Query performance too slow,,,,Unable to get or analyze data,,,,Average,Poor,Poor,Good,Poor,Average,Moderate,Good,Moderate,Good,Good,Low,Moderate,Moderate,High,Moderate,Low,Not achieved,Moderate,Low,Moderate,Moderate,Maybe,Satisfactory,Not very good,Satisfactory,6 to less than 12 months,30 to less than 60 seconds,More than 500 TB,View,Navigate,Explore/Analyze,,,Not required,Not required,Not required,Planned in the long term,Planned within 12 months,Planned in the long term,In use,Not required,Not required,In use,Not required,Planned in the long term,,Not very feasible,Important,,,,,,,,,,,,,,,,,,,,,,Liechtenstein,501 - 1000,76 - 300,Less than 25,15 to less than 20%,Europe,Financial Services,SAP BO Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAP BO Analysis,,,,,,,Other,DACH,Europe,100818,Deutsch,User,SAP BO Analysis,Yes
Europe,Germany,More than 6000,Public sector and Education,Did not respond,Separate BI organization unit,Management,Finance/Controlling,,,,,Marketing,,,,Sales,Service,,Member of a cross-departmental BI team,No,Company politics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBM Cognos Analytics,,,,,,Microsoft SSRS,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,Not required,In use,In use,In use,Not required,Not required,Before 2010,No formal evaluation,Functionality,,,,,,,,Vendor or product reputation,,,,,,Availability of local support,,,Bundled with another product,,,,,,,Lack of expertise of implementation partner,Lack of resources of implementation partner,,,,,,,,,,,,,,Lack of interest from business users,,,,,,,,,,,,,,,,,,,,Good,Good,Moderate,Poor,Poor,Not achieved,Low,Low,Moderate,,High,,Low,Low,High,High,Probably,Good,Not very good,Not very good,1 to less than 2 years,1 to less than 5 seconds,10 to less than 100 TB,View,Navigate,Explore/Analyze,Model/Enrich,Create reports,Not required,Not required,Planned in the long term,Not required,Planned in the long term,Not required,Planned within 12 months,Not required,Not required,Planned within 12 months,In use,In use,Not required,Feasible,Important,,,Customer behavior analysis,,,,,Recommendation/Next-best-offer,,,Sales management and analysis,,,,,,,,,,,Germany,10001 -  100000,More than 300,76 - 300,5 to less than 10%,Europe,Public sector and Education,SAS Enterprise BI,,,,,,,,,,,,,,,,,,,,MS SSRS,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,DACH,Europe,100819,Deutsch,User,SAS Intelligence Platform,No
Europe,Germany,More than 6000,Financial Services,IT,IT,Management,Finance/Controlling,,IT,,,Marketing,,Operations/Production,,Sales,Service,,Person responsible for BI from IT department,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,Planned to use within 12 months,Not required,Not required,Before 2010,Competitively evaluated multiple products,,Support of large numbers of users,Large data handling capacity,,,,,,,,,,,,,,,,,Availability of skilled people,,,,,,,,,,,,,,,,No significant problems,,,,,,,,,,,,Software difficult to use,,,,,,Very good,Very good,Good,Good,Average,Very good,Moderate,Good,Good,Good,Good,Low,Moderate,Moderate,High,Moderate,High,,Moderate,High,High,Moderate,Definitely,Good,Satisfactory,Satisfactory,6 to less than 12 months,10 to less than 30 minutes,,View,Navigate,Explore/Analyze,,,Not required,Not required,Not required,Planned in the long term,In use,Not required,Planned within 12 months,Planned within 12 months,,In use,In use,Not required,Not required,Not very feasible,Important,Pricing and offer optimization,,Customer behavior analysis,Churn prevention,Fraud prevention,,,Recommendation/Next-best-offer,Unified view of customers,,Sales management and analysis,Risk management/Minimizing risks,,,,,,Corporate performance management,Predictive analytics,,,Germany,10001 -  100000,More than 300,More than 300,1 to less than 5%,Europe,Financial Services,MicroStrategy,,,,,,,,,,,,,,,,,,,,,MicroStrategy,,,,,,,,,,SAP BO WebI,,,,,,Other,,,,,,,,,,,,,,,,,,,,,MicroStrategy,,,,,,,,,,,,,,,,,DACH,Europe,100820,Deutsch,User,MicroStrategy,Yes
Europe,Austria,150 - 500,Services,Did not respond,,Management,Finance/Controlling,Human resources,IT,,,Marketing,,Operations/Production,,Sales,Service,,Person responsible for departmental BI,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Excel stand alone,,Microsoft Power BI,Microsoft SSRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,In use,Not required,Not required,2015,Competitively evaluated multiple products,Functionality,,,,,,,,,,Flexibility,,,,,Proof of concept faster or better,Good vendor relationship,,,Availability of skilled people,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,Good,Good,Moderate,Good,Good,High,High,Low,High,High,High,Not achieved,High,Moderate,Low,Moderate,Definitely,Excellent,Excellent,Excellent,Less than 1 month,1 to less than 5 seconds,500 GB to less than 1 TB,View,Navigate,Explore/Analyze,Model/Enrich,Create reports,In use,Not required,Not required,Planned in the long term,Planned within 12 months,Planned in the long term,Planned within 12 months,In use,Planned in the long term,In use,Not required,Not required,Planned in the long term,Not feasible at all,Very important,Pricing and offer optimization,,Customer behavior analysis,Churn prevention,,,Geospatial analysis,,,Quality assurance/analysis,Sales management and analysis,,,,,,IoT analytics,,Predictive analytics,,,Austria,101 - 250,25 - 75,Less than 25,20 to less than 30%,Europe,Services,MS Power BI,,,,,,,,,,,,,,,,,,MS Excel,MS Power BI,MS SSRS,MicroStrategy,,,,Pyramid Analytics,Qlik Sense,,,,,,,,Tableau,TARGIT,,Other,,,,,,,,,,,,,,,,,,MS Excel,MS Power BI,MS SSRS,,,,,,Qlik Sense,,,,,,,,,,,Other,DACH,Europe,100823,English,Consultant,Microsoft Power BI,
Europe,Germany,Less than 150,Services,Did not respond,,,Finance/Controlling,,,,,,,Operations/Production,,Sales,Service,,Head of business department,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,Planned to use within 12 months,In use,Planned in the long term,Not required,In use,Not required,Before 2010,No formal evaluation,Functionality,,,,,,,,,Size/financial stability of the vendor,,,Price-performance ratio,,,,,Bundled with another product,,Availability of skilled people,,,,,,,Lack of resources on the project team,,,,,,,Unclear requirements,,,,,,,,Poor data governance,Poor data quality,,Cannot handle our data volumes,,,,,,,,,,,,,,,Good,Moderate,Moderate,Moderate,Good,,Low,Moderate,Low,Not achieved,Low,,Moderate,Low,Moderate,High,Maybe,Good,None used so far,Excellent,1 to less than 3 months,1 to less than 5 seconds,50 to less than 500 MB,View,,Explore/Analyze,,,Not required,Not required,Not required,Not required,Not required,Not required,In use,Not required,Not required,In use,In use,Not required,Not required,Not very feasible,Not important at all,,,,,,,,,,Quality assurance/analysis,,,,,,,,,,,,Germany,Less than 50,25 - 75,25 - 75,More than 75%,Europe,Services,MS Excel,,,,,,,,,,,IBM Cog Analytics,,,,,,,MS Excel,,,MicroStrategy,,,,,,QlikView,,,,,,,Tableau,,,Other,,,,,,,,,,,,,,,,,,MS Excel,,,,,,,,,,,,,,,,,,,,DACH,Europe,100824,Deutsch,Consultant,Microsoft Excel,
Europe,Netherlands,More than 6000,Financial Services,Business,Finance/Controlling,Management,Finance/Controlling,,,,,,,,,,,,Person responsible for BI from IT department,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not required,In use,Planned in the long term,Not required,Planned in the long term,Not required,Not required,Before 2010,Competitively evaluated multiple products,,Support of large numbers of users,,Ease of use for report designers,Ease of use for report recipients,,,,,,Flexibility,,,,,,,,,,,,,,,,Lack of resources on the project team,,,,,,Lack of support from management,,,,,,,Lack of interest from business users,,,,,,,,,,,,,,,,,,,,Good,Good,Good,Good,Good,,,High,,,,High,High,,High,High,Definitely,Excellent,None used so far,Good,3 to less than 6 months,1 to less than 5 seconds,,View,Navigate,Explore/Analyze,,,In use,In use,,In use,In use,In use,In use,,,In use,Not required,Not required,,Feasible,Not very important,,,,,,,,,,,,,,,,,,,,,,Netherlands,10001 -  100000,More than 300,More than 300,5 to less than 10%,Europe,Financial Services,Other,,,,,,,,,,,IBM Cog Analytics,,,,,,,,,,,Oracle BI,,,,,QlikView,,,,,,,Tableau,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,BeNeLux,Europe,100826,English,User,CXO-Cockpit,No
Europe,United Kingdom,150 - 500,IT,Did not respond,,Management,Finance/Controlling,Human resources,IT,,,Marketing,Procurement,,,Sales,Service,,Person responsible for BI from IT department,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,Planned in the long term,Planned to use within 12 months,Not required,2015,Competitively evaluated multiple products,Functionality,,,Ease of use for report designers,,,,High innovative capacity of the vendor,,,,,Price-performance ratio,,,,Good vendor relationship,,,,,,,,,,,,,,,Lack of project management,,Unclear requirements,,,,,,,,Poor data governance,,,,,Security limitations in the product,,,,,,,,,,,,,Good,Good,Moderate,Moderate,Good,High,Moderate,Not achieved,High,High,Moderate,Moderate,High,Moderate,Not achieved,High,Definitely,Satisfactory,Excellent,Good,1 to less than 3 months,5 to less than 10 seconds,100 to less than 250 GB,View,Navigate,Explore/Analyze,Model/Enrich,,Planned within 12 months,Not required,Not required,In use,In use,In use,In use,Planned in the long term,In use,In use,In use,Planned in the long term,Planned within 12 months,Not very feasible,Not very important,,,Customer behavior analysis,,,,,,,,,,,,,,,,Predictive analytics,,,United Kingdom,251 - 500,76 - 300,76 - 300,15 to less than 20%,Europe,IT,MS Power BI,,,,,,,,,,,,,,,,,,,MS Power BI,,,,,,,,QlikView,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS Excel,MS Power BI,,,,,,,,,,,,,,,,,,,United Kingdom & Ireland,Europe,100829,English,Consultant,Microsoft Power BI,
Europe,Austria,500 - 1500,Retail/Wholesale,IT,IT,Management,Finance/Controlling,,IT,,Logistics,Marketing,Procurement,,,Sales,,,Person responsible for BI from IT department,No,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Excel with Add-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Excel with Add-In,,,,,,,,,,,,QlikView,,,,,,,,,,,,,,,,In use,In use,In use,Planned in the long term,Planned in the long term,Not required,Not required,Before 2010,Evaluated only the selected product,,,,,,Fast query performance,,,Vendor or product reputation,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,,,,,,,,,,,,,,No significant problems,,,,,,,,Good,Good,Good,Good,Moderate,Low,High,High,High,High,High,Low,Moderate,Moderate,Moderate,Moderate,Definitely,Good,Good,Satisfactory,1 to less than 3 months,5 to less than 10 seconds,250 to less than 500 GB,View,Navigate,Explore/Analyze,,,Not required,In use,Not required,In use,In use,Planned in the long term,In use,In use,In use,In use,Planned in the long term,In use,Not required,Not feasible at all,Important,,,,,,,,,,Quality assurance/analysis,Sales management and analysis,,,,,,,,,,,Austria,1001 – 2500,More than 300,More than 300,30 to less than 40%,Europe,Retail/Wholesale,QlikView,,,,,,,,,,,IBM Cog Analytics,IBM Plan Analytics,,,,,,,,,,,,,,,QlikView,,,,,,,,,,Other,,,,,,,,,,,,IBM Plan Analytics,,,,,,,,,,,,,,,QlikVIew,,,,,,,,,,Other,DACH,Europe,100832,Deutsch,User,QlikView,No
Europe,Italy,150 - 500,Manufacturing,Business,Finance/Controlling,Management,Finance/Controlling,,,,,,,Operations/Production,,Sales,,,Head of business department,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,Not required,In use,Planned to use within 12 months,Planned to use within 12 months,In use,Not required,Before 2010,Competitively evaluated multiple products,,Support of large numbers of users,,Ease of use for report designers,Ease of use for report recipients,Fast query performance,,,,,,,Price-performance ratio,,,,,,,,,,,,,,,Training-related issues,,,,,,,,,,,,,,Poor data governance,,,,,,,,Unable to get or analyze data,Unreliable software,,,,,,,,,Good,Moderate,Moderate,Moderate,Good,Not achieved,High,Moderate,High,Moderate,Moderate,Not achieved,High,Moderate,High,High,Definitely,Satisfactory,Excellent,Excellent,1 to less than 3 months,1 to less than 5 seconds,Less than 50 MB,View,,Explore/Analyze,,,Not required,Not required,,Planned in the long term,Planned in the long term,In use,In use,Not required,Planned in the long term,In use,In use,Not required,Not required,Feasible,Important,,,,,,,,,,,Sales management and analysis,,,,,Capacity/resource planning,,,,,,Italy,251 - 500,Less than 25,Less than 25,5 to less than 10%,Europe,Manufacturing,MS Excel,,,,,,,,,,,,,,,,,,MS Excel,,,,,,,,,QlikView,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QlikVIew,,,,,,,,,,,Southern Europe,Europe,100835,English,User,Microsoft Excel,No
Europe,Germany,More than 6000,Other,IT,IT,Management,,,IT,,,,Procurement,,,,,,Person responsible for BI from IT department,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,Planned in the long term,Planned in the long term,Not required,Before 2010,Evaluated only the selected product,Functionality,,,,Ease of use for report recipients,Fast query performance,,,,,,International focus of the software,,Corporate standard,,,,,,,,,,Data migration,,,,,,,,,,,Software-related issues,,,,,,,,Poor data quality,,Cannot handle our data volumes,,,,,,Unreliable software,,,Good,Poor,Average,Average,Good,Good,Moderate,Good,Moderate,Good,Good,Not achieved,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,Low,High,High,Maybe,Not very good,Good,Good,1 to less than 3 months,1 to less than 5 minutes,5 to less than 10 TB,View,Navigate,Explore/Analyze,,,Not required,Not required,Not required,Not required,In use,Not required,In use,In use,Planned within 12 months,Not required,Not required,Not required,,Feasible,Important,Pricing and offer optimization,,,,,Security analytics,,,,,,,,Simulation,,,,Corporate performance management,Predictive analytics,,,Germany,More than 100000,More than 300,More than 300,5 to less than 10%,Europe,Other,QlikView,,,,,,,,,,,,,,,,,,,MS Power BI,,,,,,,Qlik Sense,QlikView,,,,,,,Tableau,,,Other,,,,,,,,,,,,,,,,,,,MS Power BI,,,,,,,,QlikVIew,,,,,,,,,,,DACH,Europe,100843,Deutsch,User,QlikView,Yes
Europe,Germany,150 - 500,Financial Services,Did not respond,Separate BI organization unit,,,,,,,Marketing,,,,,,,Person responsible for departmental BI,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not required,Not required,In use,In use,In use,Not required,Not required,Before 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,,,,,,,,,,,,,,No significant problems,,,,,,,,Moderate,Moderate,,,,,,,,,,,,High,,,Maybe,Good,Good,Good,,1 to less than 5 minutes,,,,Explore/Analyze,Model/Enrich,,Not required,Not required,Not required,Not required,Not required,Not required,Not required,Not required,Not required,Not required,Not required,Not required,,Not very feasible,Not very important,,,,,,,,,,,,,,,,,,,,,,Germany,251 - 500,76 - 300,Less than 25,15 to less than 20%,Europe,Financial Services,SAS Enterprise BI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAS Enterprise BI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAS Enterprise BI,,,,,,DACH,Europe,100844,Deutsch,User,SAS Base,No
